Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6532165,Programming Scala: Scalability = Functional Programming + Objects,Dean Wampler,"Wampler, Dean",Alex Payne,"=""0596155956""","=""9780596155957""",0,3.59,O'Reilly Media,Paperback,448,2009,2009,,2016/04/11,"to-read, acm2","to-read (#63), acm2 (#63)",to-read,,,,,,,0,,,,,
519,Rails Recipes,Chad Fowler,"Fowler, Chad",,"=""0977616606""","=""9780977616602""",0,3.53,Pragmatic Bookshelf,Paperback,332,2006,,,2016/04/11,"to-read, acm2","to-read (#62), acm2 (#62)",to-read,,,,,,,0,,,,,
594284,Data Structures and Algorithm Analysis in Java,Mark Allen Weiss,"Weiss, Mark Allen",,"=""0321373197""","=""9780321373199""",0,3.65,Pearson,Paperback,576,2005,1998,,2016/04/11,"to-read, acm2","to-read (#61), acm2 (#61)",to-read,,,,,,,0,,,,,
3277927,An Introduction to Numerical Analysis,Kendall E. Atkinson,"Atkinson, Kendall E.",,"=""0471029858""","=""9780471029854""",0,4.05,John Wiley & Sons,Hardcover,587,1978,1978,,2016/04/11,"to-read, acm2","to-read (#60), acm2 (#60)",to-read,,,,,,,0,,,,,
38412,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,"Singh, Simon",,"=""0385493622""","=""9780385493628""",0,4.20,Anchor,Paperback,315,1998,1997,,2016/04/11,"to-read, acm2","to-read (#59), acm2 (#59)",to-read,,,,,,,0,,,,,
231705,Quick Calculus: A Self-Teaching Guide,Daniel Kleppner,"Kleppner, Daniel",Norman Ramsey,"=""0471827223""","=""9780471827221""",0,4.11,Wiley,Paperback,276,1985,1985,,2016/04/11,"to-read, acm2","to-read (#58), acm2 (#58)",to-read,,,,,,,0,,,,,
1322438,Probability And Statistics For Engineering And The Sciences,Jay L. DeVore,"DeVore, Jay L.",,"=""0534372813""","=""9780534372811""",0,3.21,Thomson Brooks/Cole,Hardcover,775,2000,1982,,2016/04/11,"to-read, acm2","to-read (#57), acm2 (#57)",to-read,,,,,,,0,,,,,
1074407,Optimality Theory,Rene Kager,"Kager, Rene",,"=""0521589800""","=""9780521589802""",0,3.71,Cambridge University Press,Paperback,,1999,1999,,2016/04/11,"to-read, acm2","to-read (#56), acm2 (#56)",to-read,,,,,,,0,,,,,
6752187,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","=""0262033844""","=""9780262033848""",0,4.28,MIT Press (MA),Hardcover,1292,2009,1989,,2016/04/11,"to-read, acm2","to-read (#55), acm2 (#55)",to-read,,,,,,,0,,,,,
26177662,Programming in D: Tutorial and Reference,Ali Çehreli,"Çehreli, Ali","Luis Marques, Izgi Yapici, Sarah Reece, Andrei Alexandrescu","=""1515074609""","=""9781515074601""",0,4.75,Createspace Independent Publishing Platform,Paperback,760,2015,2014,,2016/04/11,"to-read, acm2","to-read (#54), acm2 (#54)",to-read,,,,,,,0,,,,,
